% Model,Re0.001.mph,% Model,Re0.01.mph,% Model,Re100.mph,% Model,Re1000.mph
% Version,COMSOL 5.4.0.388,% Version,COMSOL 5.4.0.388,% Version,COMSOL 5.4.0.388,% Version,COMSOL 5.4.0.388
% Date,"Apr 28 2020, 13:17",% Date,"Apr 28 2020, 13:10",% Date,"Apr 28 2020, 12:58",% Date,"Apr 28 2020, 12:55"
% Dimension,1,% Dimension,1,% Dimension,1,% Dimension,1
% Nodes,191,% Nodes,191,% Nodes,191,% Nodes,191
% Expressions,1,% Expressions,1,% Expressions,1,% Expressions,1
% Description,Line graph,% Description,Line graph,% Description,Line graph,% Description,Line graph
% r,Height,% r,Height,% r,Height,% r,Height
0,0.93798486,0,9.389767082,0,0.014135626,0,1.327675915
1.65E-04,0.945980123,1.65E-04,9.469801511,1.65E-04,0.014101947,1.65E-04,1.319348185
3.31E-04,0.953975385,3.31E-04,9.54983594,3.31E-04,0.014068269,3.31E-04,1.311020456
4.96E-04,0.961970648,4.96E-04,9.629870369,4.96E-04,0.01403459,4.96E-04,1.302692726
6.61E-04,0.969965911,6.61E-04,9.709904798,6.61E-04,0.014000912,6.61E-04,1.294364997
8.26E-04,0.977961174,8.26E-04,9.789939227,8.26E-04,0.013967233,8.26E-04,1.286037267
9.92E-04,0.97416262,9.92E-04,9.751851078,9.92E-04,0.013859587,9.92E-04,1.275368877
0.001157098,0.970364067,0.001157098,9.71376293,0.001157098,0.013751941,0.001157098,1.264700487
0.0013224,0.966565513,0.0013224,9.675674781,0.0013224,0.013644295,0.0013224,1.254032096
0.001487703,0.96276696,0.001487703,9.637586633,0.001487703,0.013536649,0.001487703,1.243363706
0.001653005,0.958968406,0.001653005,9.599498484,0.001653005,0.013429003,0.001653005,1.232695316
0.001818306,0.955057292,0.001818306,9.560261675,0.001818306,0.013262727,0.001818306,1.215153515
0.001983607,0.951146179,0.001983607,9.521024867,0.001983607,0.013096452,0.001983607,1.197611713
0.002148908,0.947235065,0.002148908,9.481788058,0.002148908,0.012930177,0.002148908,1.180069912
0.002314209,0.943323951,0.002314209,9.442551249,0.002314209,0.012763902,0.002314209,1.16252811
0.002479509,0.939412837,0.002479509,9.40331444,0.002479509,0.012597627,0.002479509,1.144986309
0.002644808,0.935680706,0.002644808,9.365840551,0.002644808,0.012394456,0.002644808,1.122648349
0.002810107,0.931948575,0.002810107,9.328366662,0.002810107,0.012191285,0.002810107,1.100310389
0.002975406,0.928216443,0.002975406,9.290892772,0.002975406,0.011988114,0.002975406,1.077972429
0.003140705,0.924484312,0.003140705,9.253418883,0.003140705,0.011784942,0.003140705,1.055634469
0.003306004,0.92075218,0.003306004,9.215944994,0.003306004,0.011581771,0.003306004,1.033296509
0.003471304,0.913808354,0.003471304,9.146292206,0.003471304,0.01130641,0.003471304,1.005549483
0.003636603,0.906864528,0.003636603,9.076639418,0.003636603,0.011031049,0.003636603,0.977802457
0.003801903,0.899920702,0.003801903,9.00698663,0.003801903,0.010755688,0.003801903,0.950055431
0.003967203,0.892976876,0.003967203,8.937333842,0.003967203,0.010480326,0.003967203,0.922308406
0.004132503,0.886033049,0.004132503,8.867681053,0.004132503,0.010204965,0.004132503,0.89456138
0.004297803,0.879642375,0.004297803,8.803543856,0.004297803,0.009895336,0.004297803,0.862633278
0.004463103,0.8732517,0.004463103,8.739406658,0.004463103,0.009585706,0.004463103,0.830705176
0.004628402,0.866861026,0.004628402,8.675269461,0.004628402,0.009276077,0.004628402,0.798777074
0.004793702,0.860470351,0.004793702,8.611132263,0.004793702,0.008966448,0.004793702,0.766848973
0.004959002,0.854079677,0.004959002,8.546995066,0.004959002,0.008656818,0.004959002,0.734920871
0.005124302,0.846421164,0.005124302,8.470151239,0.005124302,0.008324349,0.005124302,0.70018491
0.005289602,0.838762651,0.005289602,8.393307411,0.005289602,0.00799188,0.005289602,0.665448949
0.005454902,0.831104138,0.005454902,8.316463584,0.005454902,0.007659411,0.005454902,0.630712988
0.005620202,0.823445626,0.005620202,8.239619757,0.005620202,0.007326942,0.005620202,0.595977027
0.005785502,0.815787113,0.005785502,8.16277593,0.005785502,0.006994473,0.005785502,0.561241066
0.005950801,0.806073154,0.005950801,8.065348048,0.005950801,0.006628907,0.005950801,0.524438491
0.006116101,0.796359196,0.006116101,7.967920166,0.006116101,0.00626334,0.006116101,0.487635916
0.006281401,0.786645237,0.006281401,7.870492284,0.006281401,0.005897773,0.006281401,0.450833341
0.0064467,0.776931278,0.0064467,7.773064402,0.0064467,0.005532206,0.0064467,0.414030766
0.006612,0.76721732,0.006612,7.67563652,0.006612,0.005166639,0.006612,0.377228191
0.0067773,0.756855766,0.0067773,7.571721518,0.0067773,0.00479313,0.0067773,0.340142208
0.0069426,0.746494212,0.0069426,7.467806516,0.0069426,0.00441962,0.0069426,0.303056224
0.0071079,0.736132659,0.0071079,7.363891514,0.0071079,0.004046111,0.0071079,0.265970241
0.0072732,0.725771105,0.0072732,7.259976512,0.0072732,0.003672602,0.0072732,0.228884257
0.0074385,0.715409551,0.0074385,7.15606151,0.0074385,0.003299092,0.0074385,0.191798274
0.007603799,0.703792337,0.007603799,7.039583244,0.007603799,0.002922555,0.007603799,0.155181556
0.007769099,0.692175123,0.007769099,6.923104978,0.007769099,0.002546018,0.007769099,0.118564838
0.007934399,0.680557908,0.007934399,6.806626712,0.007934399,0.002169481,0.007934399,0.08194812
0.008099698,0.668940694,0.008099698,6.690148446,0.008099698,0.001792943,0.008099698,0.045331402
0.008264998,0.657323479,0.008264998,6.57367018,0.008264998,0.001416406,0.008264998,0.008714684
0.008430298,0.645442415,0.008430298,6.454561612,0.008430298,0.001062809,0.008430298,-0.025638281
0.008595598,0.633561351,0.008595598,6.335453044,0.008595598,7.09E-04,0.008595598,-0.059991246
0.008760898,0.621680287,0.008760898,6.216344476,0.008760898,3.56E-04,0.008760898,-0.094344212
0.008926198,0.609799223,0.008926198,6.097235907,0.008926198,2.02E-06,0.008926198,-0.128697177
0.009091498,0.597918159,0.009091498,5.978127339,0.009091498,-3.52E-04,0.009091498,-0.163050142
0.009256798,0.585250675,0.009256798,5.851167185,0.009256798,-6.84E-04,0.009256798,-0.19387309
0.009422097,0.572583192,0.009422097,5.72420703,0.009422097,-0.001016955,0.009422097,-0.224696037
0.009587397,0.559915708,0.009587397,5.597246876,0.009587397,-0.001349643,0.009587397,-0.255518985
0.009752697,0.547248224,0.009752697,5.470286721,0.009752697,-0.001682331,0.009752697,-0.286341932
0.009917996,0.534580741,0.009917996,5.343326567,0.009917996,-0.002015018,0.009917996,-0.31716488
0.010083296,0.520347521,0.010083296,5.200721423,0.010083296,-0.00231694,0.010083296,-0.343561598
0.010248596,0.506114302,0.010248596,5.058116279,0.010248596,-0.002618861,0.010248596,-0.369958317
0.010413896,0.491881082,0.010413896,4.915511135,0.010413896,-0.002920782,0.010413896,-0.396355036
0.010579196,0.477647862,0.010579196,4.772905991,0.010579196,-0.003222704,0.010579196,-0.422751754
0.010744496,0.463414643,0.010744496,4.630300846,0.010744496,-0.003524625,0.010744496,-0.449148473
0.010909796,0.449824678,0.010909796,4.494164994,0.010909796,-0.003774498,0.010909796,-0.467667183
0.011075096,0.436234713,0.011075096,4.358029142,0.011075096,-0.004024371,0.011075096,-0.486185892
0.011240395,0.422644748,0.011240395,4.22189329,0.011240395,-0.004274245,0.011240395,-0.504704602
0.011405695,0.409054784,0.011405695,4.085757437,0.011405695,-0.004524118,0.011405695,-0.523223312
0.011570995,0.395464819,0.011570995,3.949621585,0.011570995,-0.004773991,0.011570995,-0.541742022
0.011736295,0.381151824,0.011736295,3.806283416,0.011736295,-0.004982395,0.011736295,-0.553856685
0.011901594,0.36683883,0.011901594,3.662945247,0.011901594,-0.0051908,0.011901594,-0.565971347
0.012066894,0.352525835,0.012066894,3.519607079,0.012066894,-0.005399204,0.012066894,-0.57808601
0.012232194,0.338212841,0.012232194,3.37626891,0.012232194,-0.005607608,0.012232194,-0.590200673
0.012397494,0.323899846,0.012397494,3.232930741,0.012397494,-0.005816012,0.012397494,-0.602315336
0.012562794,0.308332464,0.012562794,3.077085978,0.012562794,-0.005979319,0.012562794,-0.608269636
0.012728094,0.292765082,0.012728094,2.921241215,0.012728094,-0.006142625,0.012728094,-0.614223936
0.012893393,0.2771977,0.012893393,2.765396453,0.012893393,-0.006305931,0.012893393,-0.620178237
0.013058693,0.261630317,0.013058693,2.60955169,0.013058693,-0.006469238,0.013058693,-0.626132537
0.013223993,0.246062935,0.013223993,2.453706927,0.013223993,-0.006632544,0.013223993,-0.632086837
0.013389293,0.231248565,0.013389293,2.305441294,0.013389293,-0.006734078,0.013389293,-0.629161198
0.013554593,0.216434195,0.013554593,2.15717566,0.013554593,-0.006835612,0.013554593,-0.626235558
0.013719893,0.201619826,0.013719893,2.008910027,0.013719893,-0.006937146,0.013719893,-0.623309919
0.013885192,0.186805456,0.013885192,1.860644393,0.013885192,-0.00703868,0.013885192,-0.62038428
0.014050492,0.171991086,0.014050492,1.71237876,0.014050492,-0.007140214,0.014050492,-0.61745864
0.014215792,0.157048867,0.014215792,1.562881668,0.014215792,-0.00718834,0.014215792,-0.604515864
0.014381092,0.142106649,0.014381092,1.413384575,0.014381092,-0.007236466,0.014381092,-0.591573088
0.014546392,0.127164431,0.014546392,1.263887483,0.014546392,-0.007284592,0.014546392,-0.578630311
0.014711691,0.112222212,0.014711691,1.114390391,0.014711691,-0.007332718,0.014711691,-0.565687535
0.014876991,0.097279994,0.014876991,0.964893299,0.014876991,-0.007380844,0.014876991,-0.552744759
0.015042291,0.080841334,0.015042291,0.80047944,0.015042291,-0.00739582,0.015042291,-0.5390035
0.015207591,0.064402674,0.015207591,0.636065581,0.015207591,-0.007410797,0.015207591,-0.52526224
0.015372891,0.047964014,0.015372891,0.471651722,0.015372891,-0.007425774,0.015372891,-0.511520981
0.01553819,0.031525354,0.01553819,0.307237863,0.01553819,-0.007440751,0.01553819,-0.497779722
0.01570349,0.015086693,0.01570349,0.142824004,0.01570349,-0.007455728,0.01570349,-0.484038463
0.015868789,2.94E-04,0.015868789,-0.005077411,0.015868789,-0.007423952,0.015868789,-0.468242668
0.016034088,-0.014498151,0.016034088,-0.152978826,0.016034088,-0.007392177,0.016034088,-0.452446873
0.016199386,-0.029290573,0.016199386,-0.300880241,0.016199386,-0.007360401,0.016199386,-0.436651078
0.016364685,-0.044082996,0.016364685,-0.448781656,0.016364685,-0.007328626,0.016364685,-0.420855283
0.016529984,-0.058875418,0.016529984,-0.596683072,0.016529984,-0.00729685,0.016529984,-0.405059488
0.016695286,-0.073762456,0.016695286,-0.745478968,0.016695286,-0.007229711,0.016695286,-0.390532722
0.016860588,-0.088649495,0.016860588,-0.894274865,0.016860588,-0.007162571,0.016860588,-0.376005956
0.017025891,-0.103536534,0.017025891,-1.043070761,0.017025891,-0.007095431,0.017025891,-0.361479191
0.017191193,-0.118423572,0.017191193,-1.191866658,0.017191193,-0.007028291,0.017191193,-0.346952425
0.017356495,-0.133310611,0.017356495,-1.340662555,0.017356495,-0.006961151,0.017356495,-0.332425659
0.017521796,-0.148173099,0.017521796,-1.489165393,0.017521796,-0.006873515,0.017521796,-0.321624623
0.017687097,-0.163035587,0.017687097,-1.637668232,0.017687097,-0.006785878,0.017687097,-0.310823587
0.017852398,-0.177898074,0.017852398,-1.786171071,0.017852398,-0.006698242,0.017852398,-0.300022551
0.018017699,-0.192760562,0.018017699,-1.934673909,0.018017699,-0.006610605,0.018017699,-0.289221515
0.018183,-0.20762305,0.018183,-2.083176748,0.018183,-0.006522969,0.018183,-0.278420479
0.018348298,-0.222690227,0.018348298,-2.233682529,0.018348298,-0.006425682,0.018348298,-0.271965994
0.018513597,-0.237757404,0.018513597,-2.38418831,0.018513597,-0.006328396,0.018513597,-0.265511509
0.018678896,-0.252824581,0.018678896,-2.53469409,0.018678896,-0.00623111,0.018678896,-0.259057023
0.018844195,-0.267891759,0.018844195,-2.685199871,0.018844195,-0.006133823,0.018844195,-0.252602538
0.019009494,-0.282958936,0.019009494,-2.835705652,0.019009494,-0.006036537,0.019009494,-0.246148052
0.019174794,-0.295904096,0.019174794,-2.964956681,0.019174794,-0.005931617,0.019174794,-0.242488563
0.019340094,-0.308849256,0.019340094,-3.09420771,0.019340094,-0.005826697,0.019340094,-0.238829074
0.019505394,-0.321794416,0.019505394,-3.223458739,0.019505394,-0.005721778,0.019505394,-0.235169585
0.019670694,-0.334739576,0.019670694,-3.352709768,0.019670694,-0.005616858,0.019670694,-0.231510096
0.019835994,-0.347684736,0.019835994,-3.481960797,0.019835994,-0.005511938,0.019835994,-0.227850607
0.020001293,-0.362844574,0.020001293,-3.633308473,0.020001293,-0.005411982,0.020001293,-0.224684188
0.020166593,-0.378004413,0.020166593,-3.78465615,0.020166593,-0.005312027,0.020166593,-0.221517768
0.020331893,-0.393164251,0.020331893,-3.936003826,0.020331893,-0.005212071,0.020331893,-0.218351349
0.020497192,-0.40832409,0.020497192,-4.087351503,0.020497192,-0.005112115,0.020497192,-0.215184929
0.020662492,-0.423483928,0.020662492,-4.238699179,0.020662492,-0.00501216,0.020662492,-0.21201851
0.020827792,-0.434856146,0.020827792,-4.352163324,0.020827792,-0.004917421,0.020827792,-0.210734701
0.020993092,-0.446228365,0.020993092,-4.465627469,0.020993092,-0.004822682,0.020993092,-0.209450892
0.021158392,-0.457600583,0.021158392,-4.579091614,0.021158392,-0.004727943,0.021158392,-0.208167084
0.021323692,-0.468972801,0.021323692,-4.692555759,0.021323692,-0.004633204,0.021323692,-0.206883275
0.021488992,-0.48034502,0.021488992,-4.806019904,0.021488992,-0.004538465,0.021488992,-0.205599466
0.021654291,-0.493375753,0.021654291,-4.93603392,0.021654291,-0.004455666,0.021654291,-0.208147282
0.021819591,-0.506406487,0.021819591,-5.066047936,0.021819591,-0.004372868,0.021819591,-0.210695098
0.021984891,-0.519437221,0.021984891,-5.196061952,0.021984891,-0.004290069,0.021984891,-0.213242914
0.02215019,-0.532467955,0.02215019,-5.326075968,0.02215019,-0.004207271,0.02215019,-0.215790729
0.02231549,-0.545498689,0.02231549,-5.456089984,0.02231549,-0.004124472,0.02231549,-0.218338545
0.02248079,-0.556490757,0.02248079,-5.5657137,0.02248079,-0.004051346,0.02248079,-0.222039654
0.02264609,-0.567482825,0.02264609,-5.675337416,0.02264609,-0.00397822,0.02264609,-0.225740762
0.02281139,-0.578474893,0.02281139,-5.784961131,0.02281139,-0.003905094,0.02281139,-0.229441871
0.02297669,-0.589466961,0.02297669,-5.894584847,0.02297669,-0.003831968,0.02297669,-0.233142979
0.02314199,-0.600459029,0.02314199,-6.004208563,0.02314199,-0.003758842,0.02314199,-0.236844088
0.02330729,-0.611378022,0.02330729,-6.113088749,0.02330729,-0.003695761,0.02330729,-0.241918359
0.023472589,-0.622297016,0.023472589,-6.221968935,0.023472589,-0.00363268,0.023472589,-0.24699263
0.023637889,-0.633216009,0.023637889,-6.330849121,0.023637889,-0.003569599,0.023637889,-0.252066901
0.023803189,-0.644135002,0.023803189,-6.439729307,0.023803189,-0.003506518,0.023803189,-0.257141172
0.023968488,-0.655053995,0.023968488,-6.548609493,0.023968488,-0.003443437,0.023968488,-0.262215443
0.024133788,-0.664329183,0.024133788,-6.641065309,0.024133788,-0.003389602,0.024133788,-0.271200003
0.024299088,-0.673604371,0.024299088,-6.733521125,0.024299088,-0.003335767,0.024299088,-0.280184563
0.024464388,-0.682879559,0.024464388,-6.825976942,0.024464388,-0.003281931,0.024464388,-0.289169123
0.024629688,-0.692154747,0.024629688,-6.918432758,0.024629688,-0.003228096,0.024629688,-0.298153683
0.024794988,-0.701429935,0.024794988,-7.010888575,0.024794988,-0.003174261,0.024794988,-0.307138243
0.024960288,-0.710186138,0.024960288,-7.098160279,0.024960288,-0.003126275,0.024960288,-0.313007144
0.025125588,-0.718942342,0.025125588,-7.185431984,0.025125588,-0.00307829,0.025125588,-0.318876045
0.025290887,-0.727698546,0.025290887,-7.272703689,0.025290887,-0.003030304,0.025290887,-0.324744946
0.025456187,-0.736454749,0.025456187,-7.359975394,0.025456187,-0.002982319,0.025456187,-0.330613847
0.025621487,-0.745210953,0.025621487,-7.447247099,0.025621487,-0.002934333,0.025621487,-0.336482747
0.025786787,-0.752505081,0.025786787,-7.51992094,0.025786787,-0.002889762,0.025786787,-0.334800021
0.025952087,-0.759799209,0.025952087,-7.592594781,0.025952087,-0.002845192,0.025952087,-0.333117294
0.026117386,-0.767093338,0.026117386,-7.665268623,0.026117386,-0.002800621,0.026117386,-0.331434567
0.026282686,-0.774387466,0.026282686,-7.737942464,0.026282686,-0.00275605,0.026282686,-0.32975184
0.026447986,-0.781681594,0.026447986,-7.810616305,0.026447986,-0.002711479,0.026447986,-0.328069114
0.026613286,-0.78823592,0.026613286,-7.875919435,0.026613286,-0.00266998,0.026613286,-0.315544387
0.026778586,-0.794790246,0.026778586,-7.941222565,0.026778586,-0.00262848,0.026778586,-0.30301966
0.026943885,-0.801344572,0.026943885,-8.006525696,0.026943885,-0.002586981,0.026943885,-0.290494933
0.027109185,-0.807898898,0.027109185,-8.071828826,0.027109185,-0.002545482,0.027109185,-0.277970207
0.027274485,-0.814453224,0.027274485,-8.137131956,0.027274485,-0.002503982,0.027274485,-0.26544548
0.027439785,-0.819417403,0.027439785,-8.186571955,0.027439785,-0.002464536,0.027439785,-0.24437291
0.027605085,-0.824381583,0.027605085,-8.236011954,0.027605085,-0.002425089,0.027605085,-0.22330034
0.027770385,-0.829345762,0.027770385,-8.285451954,0.027770385,-0.002385642,0.027770385,-0.202227771
0.027935685,-0.834309942,0.027935685,-8.334891953,0.027935685,-0.002346196,0.027935685,-0.181155201
0.028100985,-0.839274121,0.028100985,-8.384331952,0.028100985,-0.002306749,0.028100985,-0.160082631
0.028266284,-0.843425122,0.028266284,-8.425676139,0.028266284,-0.002271037,0.028266284,-0.136247709
0.028431584,-0.847576122,0.028431584,-8.467020326,0.028431584,-0.002235325,0.028431584,-0.112412786
0.028596884,-0.851727123,0.028596884,-8.508364513,0.028596884,-0.002199613,0.028596884,-0.088577864
0.028762183,-0.855878123,0.028762183,-8.5497087,0.028762183,-0.002163902,0.028762183,-0.064742941
0.028927483,-0.860029124,0.028927483,-8.591052887,0.028927483,-0.00212819,0.028927483,-0.040908019
0.029092783,-0.862744875,0.029092783,-8.618093486,0.029092783,-0.002099426,0.029092783,-0.017378722
0.029258083,-0.865460626,0.029258083,-8.645134085,0.029258083,-0.002070662,0.029258083,0.006150575
0.029423383,-0.868176378,0.029423383,-8.672174684,0.029423383,-0.002041899,0.029423383,0.029679872
0.029588683,-0.870892129,0.029588683,-8.699215283,0.029588683,-0.002013135,0.029588683,0.053209168
0.029753983,-0.87360788,0.029753983,-8.726255882,0.029753983,-0.001984372,0.029753983,0.076738465
0.029919282,-0.877567702,0.029919282,-8.765746792,0.029919282,-0.001962795,0.029919282,0.09193367
0.030084582,-0.881527524,0.030084582,-8.805237702,0.030084582,-0.001941218,0.030084582,0.107128874
0.030249882,-0.885487346,0.030249882,-8.844728612,0.030249882,-0.001919641,0.030249882,0.122324078
0.030415182,-0.889447168,0.030415182,-8.884219521,0.030415182,-0.001898065,0.030415182,0.137519283
0.030580481,-0.89340699,0.030580481,-8.923710431,0.030580481,-0.001876488,0.030580481,0.152714487
0.030745781,-0.887596371,0.030745781,-8.865661376,0.030745781,-0.001870206,0.030745781,0.164831829
0.030911081,-0.881785752,0.030911081,-8.80761232,0.030911081,-0.001863925,0.030911081,0.17694917
0.031076381,-0.875975133,0.031076381,-8.749563265,0.031076381,-0.001857643,0.031076381,0.189066512
0.031241681,-0.870164514,0.031241681,-8.691514209,0.031241681,-0.001851362,0.031241681,0.201183854
0.03140698,-0.864353895,0.03140698,-8.633465154,0.03140698,-0.00184508,0.03140698,0.213301195